Company	Investor	category_list	raised_amount_usd	Valuation ($B)	funded_at	Country	Industry	Select Investors
17zuoye	DST Global	Education|Language Learning	20000000	Edtech	China	Temasek Holdings, H Capital, Shunwei Fund
Cyanogen	Andreessen Horowitz	Services|Software	85000000	Mobile Software & Services	USA	Twitter Ventures, Qualcomm Ventures, Benchmark Capital	
Cyanogen	Benchmark	Services|Software	7000000	Mobile Software & Services	USA	Twitter Ventures, Qualcomm Ventures, Benchmark Capital	
Cyanogen	Benchmark	Services|Software	85000000	Mobile Software & Services	USA	Twitter Ventures, Qualcomm Ventures, Benchmark Capital	
Cyanogen	Foxconn Technology Group	Services|Software	85000000	Mobile Software & Services	USA	Twitter Ventures, Qualcomm Ventures, Benchmark Capital	
Cyanogen	Index Ventures	Services|Software	85000000	Mobile Software & Services	USA	Twitter Ventures, Qualcomm Ventures, Benchmark Capital	
Cyanogen	Microsoft	Services|Software	85000000	Mobile Software & Services	USA	Twitter Ventures, Qualcomm Ventures, Benchmark Capital	
Cyanogen	PremjiInvest	Services|Software	85000000	Mobile Software & Services	USA	Twitter Ventures, Qualcomm Ventures, Benchmark Capital	
Cyanogen	Qualcomm Incorporated	Services|Software	85000000	Mobile Software & Services	USA	Twitter Ventures, Qualcomm Ventures, Benchmark Capital	
Cyanogen	Redpoint Ventures	Services|Software	7000000	Mobile Software & Services	USA	Twitter Ventures, Qualcomm Ventures, Benchmark Capital	
Cyanogen	Redpoint Ventures	Services|Software	85000000	Mobile Software & Services	USA	Twitter Ventures, Qualcomm Ventures, Benchmark Capital	
Cyanogen	Rupert Murdoch	Services|Software	85000000	Mobile Software & Services	USA	Twitter Ventures, Qualcomm Ventures, Benchmark Capital	
Cyanogen	Santander Innoventures	Services|Software	85000000	Mobile Software & Services	USA	Twitter Ventures, Qualcomm Ventures, Benchmark Capital	
Cyanogen	Smartfren Telecom	Services|Software	85000000	Mobile Software & Services	USA	Twitter Ventures, Qualcomm Ventures, Benchmark Capital	
Cyanogen	Telefonica Ventures	Services|Software	85000000	Mobile Software & Services	USA	Twitter Ventures, Qualcomm Ventures, Benchmark Capital	
Cyanogen	Tencent Holdings	Services|Software	23000000	Mobile Software & Services	USA	Twitter Ventures, Qualcomm Ventures, Benchmark Capital	
Cyanogen	Tencent Holdings	Services|Software	85000000	Mobile Software & Services	USA	Twitter Ventures, Qualcomm Ventures, Benchmark Capital	
Cyanogen	Twitter Ventures	Services|Software	85000000	Mobile Software & Services	USA	Twitter Ventures, Qualcomm Ventures, Benchmark Capital	
Cyanogen	Vivi Nevo	Services|Software	85000000	Mobile Software & Services	USA	Twitter Ventures, Qualcomm Ventures, Benchmark Capital	
Decolar.com	Expedia	Online Travel|Travel & Tourism	270000000	Internet Software & Services	Brazil	Sequoia Capital, Insight Venture Partners, Accel Partners	
Deliveroo	Accel	Food Processing	100000000	On-Demand	United Kingdom	Accel Partners, Hoxton Ventures, Index Ventures	
Deliveroo	Accel	Food Processing	25000000	On-Demand	United Kingdom	Accel Partners, Hoxton Ventures, Index Ventures	
Deliveroo	Accel	Food Processing	70000000	On-Demand	United Kingdom	Accel Partners, Hoxton Ventures, Index Ventures	
Deliveroo	DST Global	Food Processing	100000000	On-Demand	United Kingdom	Accel Partners, Hoxton Ventures, Index Ventures	
Deliveroo	Greenoaks Capital	Food Processing	100000000	On-Demand	United Kingdom	Accel Partners, Hoxton Ventures, Index Ventures	
Deliveroo	Greenoaks Capital	Food Processing	70000000	On-Demand	United Kingdom	Accel Partners, Hoxton Ventures, Index Ventures	
Deliveroo	Hoxton Ventures	Food Processing	4585753	On-Demand	United Kingdom	Accel Partners, Hoxton Ventures, Index Ventures	
Deliveroo	Hoxton Ventures	Food Processing	70000000	On-Demand	United Kingdom	Accel Partners, Hoxton Ventures, Index Ventures	
Deliveroo	Hummingbird Ventures	Food Processing	100000000	On-Demand	United Kingdom	Accel Partners, Hoxton Ventures, Index Ventures	
Deliveroo	Hummingbird Ventures	Food Processing	25000000	On-Demand	United Kingdom	Accel Partners, Hoxton Ventures, Index Ventures	
Deliveroo	Index Ventures	Food Processing	100000000	On-Demand	United Kingdom	Accel Partners, Hoxton Ventures, Index Ventures	
Deliveroo	Index Ventures	Food Processing	25000000	On-Demand	United Kingdom	Accel Partners, Hoxton Ventures, Index Ventures	
Deliveroo	Index Ventures	Food Processing	4585753	On-Demand	United Kingdom	Accel Partners, Hoxton Ventures, Index Ventures	
Deliveroo	Index Ventures	Food Processing	70000000	On-Demand	United Kingdom	Accel Partners, Hoxton Ventures, Index Ventures	
Deliveroo	JamJar Investments	Food Processing	4585753	On-Demand	United Kingdom	Accel Partners, Hoxton Ventures, Index Ventures	
DigitalOcean	Access Industries	Cloud Computing|Finance|Networking|Virtualization|Web Hosting	83000000	Internet Software & Services	USA	Andreessen Horowitz, IA Ventures, CrunchFund	
DigitalOcean	Andreessen Horowitz	Cloud Computing|Finance|Networking|Virtualization|Web Hosting	37000000	Internet Software & Services	USA	Andreessen Horowitz, IA Ventures, CrunchFund	
DigitalOcean	Andreessen Horowitz	Cloud Computing|Finance|Networking|Virtualization|Web Hosting	83000000	Internet Software & Services	USA	Andreessen Horowitz, IA Ventures, CrunchFund	
DigitalOcean	CrunchFund	Cloud Computing|Finance|Networking|Virtualization|Web Hosting	3205800	Internet Software & Services	USA	Andreessen Horowitz, IA Ventures, CrunchFund	
DigitalOcean	CrunchFund	Cloud Computing|Finance|Networking|Virtualization|Web Hosting	37000000	Internet Software & Services	USA	Andreessen Horowitz, IA Ventures, CrunchFund	
DigitalOcean	Fortress Investment Group	Cloud Computing|Finance|Networking|Virtualization|Web Hosting	50000000	Internet Software & Services	USA	Andreessen Horowitz, IA Ventures, CrunchFund	
DigitalOcean	IA Ventures	Cloud Computing|Finance|Networking|Virtualization|Web Hosting	3205800	Internet Software & Services	USA	Andreessen Horowitz, IA Ventures, CrunchFund	
DigitalOcean	IA Ventures	Cloud Computing|Finance|Networking|Virtualization|Web Hosting	37000000	Internet Software & Services	USA	Andreessen Horowitz, IA Ventures, CrunchFund	
DigitalOcean	Techstars	Cloud Computing|Finance|Networking|Virtualization|Web Hosting	3205800	Internet Software & Services	USA	Andreessen Horowitz, IA Ventures, CrunchFund	
DigitalOcean	Trinity Capital Investment	Cloud Computing|Finance|Networking|Virtualization|Web Hosting	2000000	Internet Software & Services	USA	Andreessen Horowitz, IA Ventures, CrunchFund	
Dollar Shave Club	Andreessen Horowitz	E-Commerce|Retail	1000000	E-Commerce	USA	Venrock, Battery Ventures, Felicis Ventures	
Dollar Shave Club	Battery Ventures	E-Commerce|Retail	12000000	E-Commerce	USA	Venrock, Battery Ventures, Felicis Ventures	
Dollar Shave Club	Brendan Wallace	E-Commerce|Retail	12000000	E-Commerce	USA	Venrock, Battery Ventures, Felicis Ventures	
Dollar Shave Club	Comcast Ventures	E-Commerce|Retail	12000000	E-Commerce	USA	Venrock, Battery Ventures, Felicis Ventures	
Dollar Shave Club	Cowboy Ventures	E-Commerce|Retail	1000000	E-Commerce	USA	Venrock, Battery Ventures, Felicis Ventures	
Dollar Shave Club	Dragoneer Investment Group	E-Commerce|Retail	90700000	E-Commerce	USA	Venrock, Battery Ventures, Felicis Ventures	
Dollar Shave Club	Felicis Ventures	E-Commerce|Retail	1000000	E-Commerce	USA	Venrock, Battery Ventures, Felicis Ventures	
Dollar Shave Club	Felicis Ventures	E-Commerce|Retail	9800000	E-Commerce	USA	Venrock, Battery Ventures, Felicis Ventures	
Dollar Shave Club	Forerunner Ventures	E-Commerce|Retail	1000000	E-Commerce	USA	Venrock, Battery Ventures, Felicis Ventures	
Dollar Shave Club	Forerunner Ventures	E-Commerce|Retail	12000000	E-Commerce	USA	Venrock, Battery Ventures, Felicis Ventures	
Dollar Shave Club	Forerunner Ventures	E-Commerce|Retail	90700000	E-Commerce	USA	Venrock, Battery Ventures, Felicis Ventures	
Dollar Shave Club	Forerunner Ventures	E-Commerce|Retail	9800000	E-Commerce	USA	Venrock, Battery Ventures, Felicis Ventures	
Dollar Shave Club	Kleiner Perkins Caufield & Byers	E-Commerce|Retail	1000000	E-Commerce	USA	Venrock, Battery Ventures, Felicis Ventures	
Dollar Shave Club	Pritzker Group Venture Capital	E-Commerce|Retail	12000000	E-Commerce	USA	Venrock, Battery Ventures, Felicis Ventures	
Dollar Shave Club	Pritzker Group Venture Capital	E-Commerce|Retail	50000000	E-Commerce	USA	Venrock, Battery Ventures, Felicis Ventures	
Dollar Shave Club	Rustic Canyon Partners	E-Commerce|Retail	1000000	E-Commerce	USA	Venrock, Battery Ventures, Felicis Ventures	
Dollar Shave Club	Rustic Canyon Partners	E-Commerce|Retail	12000000	E-Commerce	USA	Venrock, Battery Ventures, Felicis Ventures	
Dollar Shave Club	Rustic Canyon Partners	E-Commerce|Retail	9800000	E-Commerce	USA	Venrock, Battery Ventures, Felicis Ventures	
Dollar Shave Club	Science	E-Commerce|Retail	1000000	E-Commerce	USA	Venrock, Battery Ventures, Felicis Ventures	
Dollar Shave Club	Science	E-Commerce|Retail	9800000	E-Commerce	USA	Venrock, Battery Ventures, Felicis Ventures	
Dollar Shave Club	Shasta Ventures	E-Commerce|Retail	1000000	E-Commerce	USA	Venrock, Battery Ventures, Felicis Ventures	
Dollar Shave Club	TCV Capital	E-Commerce|Retail	90700000	E-Commerce	USA	Venrock, Battery Ventures, Felicis Ventures	
Dollar Shave Club	Technology Crossover Ventures	E-Commerce|Retail	50000000	E-Commerce	USA	Venrock, Battery Ventures, Felicis Ventures	
Dollar Shave Club	Technology Crossover Ventures	E-Commerce|Retail	90700000	E-Commerce	USA	Venrock, Battery Ventures, Felicis Ventures	
Dollar Shave Club	Venrock	E-Commerce|Retail	12000000	E-Commerce	USA	Venrock, Battery Ventures, Felicis Ventures	
Dollar Shave Club	Venrock	E-Commerce|Retail	50000000	E-Commerce	USA	Venrock, Battery Ventures, Felicis Ventures	
Dollar Shave Club	Venrock	E-Commerce|Retail	90700000	E-Commerce	USA	Venrock, Battery Ventures, Felicis Ventures	
Dollar Shave Club	Venrock	E-Commerce|Retail	9800000	E-Commerce	USA	Venrock, Battery Ventures, Felicis Ventures	
Dollar Shave Club	White Star Capital	E-Commerce|Retail	1000000	E-Commerce	USA	Venrock, Battery Ventures, Felicis Ventures	
DoorDash	Andy Rachleff	Delivery|Local|Local Businesses|Logistics|Mobile|Small and Medium Businesses	2400000	On-Demand	USA	Khosla Ventures, Sequoia Capital, KPCB	
DoorDash	CRV	Delivery|Local|Local Businesses|Logistics|Mobile|Small and Medium Businesses	17300000	On-Demand	USA	Khosla Ventures, Sequoia Capital, KPCB	
DoorDash	CRV	Delivery|Local|Local Businesses|Logistics|Mobile|Small and Medium Businesses	2400000	On-Demand	USA	Khosla Ventures, Sequoia Capital, KPCB	
DoorDash	CRV	Delivery|Local|Local Businesses|Logistics|Mobile|Small and Medium Businesses	40000000	On-Demand	USA	Khosla Ventures, Sequoia Capital, KPCB	
DoorDash	Haystack	Delivery|Local|Local Businesses|Logistics|Mobile|Small and Medium Businesses	2400000	On-Demand	USA	Khosla Ventures, Sequoia Capital, KPCB	
DoorDash	John Doerr	Delivery|Local|Local Businesses|Logistics|Mobile|Small and Medium Businesses	40000000	On-Demand	USA	Khosla Ventures, Sequoia Capital, KPCB	
DoorDash	Khosla Ventures	Delivery|Local|Local Businesses|Logistics|Mobile|Small and Medium Businesses	17300000	On-Demand	USA	Khosla Ventures, Sequoia Capital, KPCB	
DoorDash	Khosla Ventures	Delivery|Local|Local Businesses|Logistics|Mobile|Small and Medium Businesses	2400000	On-Demand	USA	Khosla Ventures, Sequoia Capital, KPCB	
DoorDash	Khosla Ventures	Delivery|Local|Local Businesses|Logistics|Mobile|Small and Medium Businesses	40000000	On-Demand	USA	Khosla Ventures, Sequoia Capital, KPCB	
DoorDash	Kleiner Perkins Caufield & Byers	Delivery|Local|Local Businesses|Logistics|Mobile|Small and Medium Businesses	40000000	On-Demand	USA	Khosla Ventures, Sequoia Capital, KPCB	
DoorDash	Ooga Labs	Delivery|Local|Local Businesses|Logistics|Mobile|Small and Medium Businesses	2400000	On-Demand	USA	Khosla Ventures, Sequoia Capital, KPCB	
DoorDash	Paul Buchheit	Delivery|Local|Local Businesses|Logistics|Mobile|Small and Medium Businesses	2400000	On-Demand	USA	Khosla Ventures, Sequoia Capital, KPCB	
DoorDash	Pejman Mar Ventures	Delivery|Local|Local Businesses|Logistics|Mobile|Small and Medium Businesses	17300000	On-Demand	USA	Khosla Ventures, Sequoia Capital, KPCB	
DoorDash	Pejman Mar Ventures	Delivery|Local|Local Businesses|Logistics|Mobile|Small and Medium Businesses	2400000	On-Demand	USA	Khosla Ventures, Sequoia Capital, KPCB	
DoorDash	Pejman Mar Ventures	Delivery|Local|Local Businesses|Logistics|Mobile|Small and Medium Businesses	40000000	On-Demand	USA	Khosla Ventures, Sequoia Capital, KPCB	
DoorDash	Pejman Nozad	Delivery|Local|Local Businesses|Logistics|Mobile|Small and Medium Businesses	2400000	On-Demand	USA	Khosla Ventures, Sequoia Capital, KPCB	
DoorDash	SV Angel	Delivery|Local|Local Businesses|Logistics|Mobile|Small and Medium Businesses	2400000	On-Demand	USA	Khosla Ventures, Sequoia Capital, KPCB	
DoorDash	Semil Shah	Delivery|Local|Local Businesses|Logistics|Mobile|Small and Medium Businesses	2400000	On-Demand	USA	Khosla Ventures, Sequoia Capital, KPCB	
DoorDash	Sequoia Capital	Delivery|Local|Local Businesses|Logistics|Mobile|Small and Medium Businesses	17300000	On-Demand	USA	Khosla Ventures, Sequoia Capital, KPCB	
DoorDash	Sequoia Capital	Delivery|Local|Local Businesses|Logistics|Mobile|Small and Medium Businesses	40000000	On-Demand	USA	Khosla Ventures, Sequoia Capital, KPCB	
DoorDash	Streamlined Ventures	Delivery|Local|Local Businesses|Logistics|Mobile|Small and Medium Businesses	2400000	On-Demand	USA	Khosla Ventures, Sequoia Capital, KPCB	
DoorDash	Streamlined Ventures	Delivery|Local|Local Businesses|Logistics|Mobile|Small and Medium Businesses	40000000	On-Demand	USA	Khosla Ventures, Sequoia Capital, KPCB	
DoorDash	Ted Zagat	Delivery|Local|Local Businesses|Logistics|Mobile|Small and Medium Businesses	17300000	On-Demand	USA	Khosla Ventures, Sequoia Capital, KPCB	
Elastic	Benchmark	Cloud Computing|Open Source|Real Time|Search|Software	10000000	Internet Software & Services	Netherlands	Boxgroup, SV Angel, Spark Capital	
Elastic	Benchmark	Cloud Computing|Open Source|Real Time|Search|Software	24000000	Internet Software & Services	Netherlands	Boxgroup, SV Angel, Spark Capital	
Elastic	Benchmark	Cloud Computing|Open Source|Real Time|Search|Software	70000000	Internet Software & Services	Netherlands	Boxgroup, SV Angel, Spark Capital	
Elastic	Data Collective	Cloud Computing|Open Source|Real Time|Search|Software	10000000	Internet Software & Services	Netherlands	Boxgroup, SV Angel, Spark Capital	
Elastic	Index Ventures	Cloud Computing|Open Source|Real Time|Search|Software	24000000	Internet Software & Services	Netherlands	Boxgroup, SV Angel, Spark Capital	
Elastic	Index Ventures	Cloud Computing|Open Source|Real Time|Search|Software	70000000	Internet Software & Services	Netherlands	Boxgroup, SV Angel, Spark Capital	
Elastic	New Enterprise Associates	Cloud Computing|Open Source|Real Time|Search|Software	70000000	Internet Software & Services	Netherlands	Boxgroup, SV Angel, Spark Capital	
Elastic	Rod Johnson	Cloud Computing|Open Source|Real Time|Search|Software	10000000	Internet Software & Services	Netherlands	Boxgroup, SV Angel, Spark Capital	
Elastic	SV Angel	Cloud Computing|Open Source|Real Time|Search|Software	24000000	Internet Software & Services	Netherlands	Boxgroup, SV Angel, Spark Capital	
Ele.me	CITIC Capital Holdings	B2B Express Delivery|E-Commerce	630000000	On-Demand	China	Horizons Ventures, GSR Ventures, Matrix Partners China	Unicorn (8/27/2015)
Ele.me	CITIC PE	B2B Express Delivery|E-Commerce	350000000	On-Demand	China	Horizons Ventures, GSR Ventures, Matrix Partners China	Unicorn (8/27/2015)
Ele.me	Dianping	B2B Express Delivery|E-Commerce	350000000	On-Demand	China	Horizons Ventures, GSR Ventures, Matrix Partners China	Unicorn (8/27/2015)
Ele.me	Dianping	B2B Express Delivery|E-Commerce	80000000	On-Demand	China	Horizons Ventures, GSR Ventures, Matrix Partners China	Unicorn (8/27/2015)
Ele.me	GSR Ventures	B2B Express Delivery|E-Commerce	25000000	On-Demand	China	Horizons Ventures, GSR Ventures, Matrix Partners China	Unicorn (8/27/2015)
Ele.me	Hualian	B2B Express Delivery|E-Commerce	630000000	On-Demand	China	Horizons Ventures, GSR Ventures, Matrix Partners China	Unicorn (8/27/2015)
Ele.me	JD.com	B2B Express Delivery|E-Commerce	630000000	On-Demand	China	Horizons Ventures, GSR Ventures, Matrix Partners China	Unicorn (8/27/2015)
Ele.me	Matrix Partners	B2B Express Delivery|E-Commerce	25000000	On-Demand	China	Horizons Ventures, GSR Ventures, Matrix Partners China	Unicorn (8/27/2015)
Ele.me	Sequoia Capital	B2B Express Delivery|E-Commerce	25000000	On-Demand	China	Horizons Ventures, GSR Ventures, Matrix Partners China	Unicorn (8/27/2015)
Ele.me	Sequoia Capital	B2B Express Delivery|E-Commerce	350000000	On-Demand	China	Horizons Ventures, GSR Ventures, Matrix Partners China	Unicorn (8/27/2015)
Ele.me	Sequoia Capital	B2B Express Delivery|E-Commerce	630000000	On-Demand	China	Horizons Ventures, GSR Ventures, Matrix Partners China	Unicorn (8/27/2015)
Ele.me	Tencent Holdings	B2B Express Delivery|E-Commerce	350000000	On-Demand	China	Horizons Ventures, GSR Ventures, Matrix Partners China	Unicorn (8/27/2015)
Ele.me	Tencent Holdings	B2B Express Delivery|E-Commerce	630000000	On-Demand	China	Horizons Ventures, GSR Ventures, Matrix Partners China	Unicorn (8/27/2015)
Flatiron Health	BoxGroup	Health and Wellness|Health Care	8000000	Healthcare	USA	First Round Capital, Google Ventures, SV Angel	Raised Series C (1/6/2016)
Flatiron Health	First Round	Health and Wellness|Health Care	130000000	Healthcare	USA	First Round Capital, Google Ventures, SV Angel	Raised Series C (1/6/2016)
Flatiron Health	First Round	Health and Wellness|Health Care	8000000	Healthcare	USA	First Round Capital, Google Ventures, SV Angel	Raised Series C (1/6/2016)
Flatiron Health	Google Ventures	Health and Wellness|Health Care	130000000	Healthcare	USA	First Round Capital, Google Ventures, SV Angel	Raised Series C (1/6/2016)
Flatiron Health	Google Ventures	Health and Wellness|Health Care	8000000	Healthcare	USA	First Round Capital, Google Ventures, SV Angel	Raised Series C (1/6/2016)
Flatiron Health	Great Oaks Venture Capital	Health and Wellness|Health Care	8000000	Healthcare	USA	First Round Capital, Google Ventures, SV Angel	Raised Series C (1/6/2016)
Flatiron Health	IA Ventures	Health and Wellness|Health Care	8000000	Healthcare	USA	First Round Capital, Google Ventures, SV Angel	Raised Series C (1/6/2016)
Flatiron Health	LabCorp	Health and Wellness|Health Care	130000000	Healthcare	USA	First Round Capital, Google Ventures, SV Angel	Raised Series C (1/6/2016)
Flatiron Health	LabCorp	Health and Wellness|Health Care	8000000	Healthcare	USA	First Round Capital, Google Ventures, SV Angel	Raised Series C (1/6/2016)
Flatiron Health	SV Angel	Health and Wellness|Health Care	8000000	Healthcare	USA	First Round Capital, Google Ventures, SV Angel	Raised Series C (1/6/2016)
Flatiron Health	Social Capital	Health and Wellness|Health Care	8000000	Healthcare	USA	First Round Capital, Google Ventures, SV Angel	Raised Series C (1/6/2016)
Freshdesk	Accel	Customer Service|Customer Support Tools|Software	1000000	Internet Software & Services	USA	Accel Partners, Google Capital, Tiger Global Management	
Freshdesk	Accel	Customer Service|Customer Support Tools|Software	31000000	Internet Software & Services	USA	Accel Partners, Google Capital, Tiger Global Management	
Freshdesk	Accel	Customer Service|Customer Support Tools|Software	5000000	Internet Software & Services	USA	Accel Partners, Google Capital, Tiger Global Management	
Freshdesk	Accel	Customer Service|Customer Support Tools|Software	50000000	Internet Software & Services	USA	Accel Partners, Google Capital, Tiger Global Management	
Freshdesk	Accel	Customer Service|Customer Support Tools|Software	6999930	Internet Software & Services	USA	Accel Partners, Google Capital, Tiger Global Management	
Freshdesk	Google Capital	Customer Service|Customer Support Tools|Software	31000000	Internet Software & Services	USA	Accel Partners, Google Capital, Tiger Global Management	
Freshdesk	Google Capital	Customer Service|Customer Support Tools|Software	50000000	Internet Software & Services	USA	Accel Partners, Google Capital, Tiger Global Management	
Freshdesk	Tiger Global Management	Customer Service|Customer Support Tools|Software	31000000	Internet Software & Services	USA	Accel Partners, Google Capital, Tiger Global Management	
Freshdesk	Tiger Global Management	Customer Service|Customer Support Tools|Software	5000000	Internet Software & Services	USA	Accel Partners, Google Capital, Tiger Global Management	
Freshdesk	Tiger Global Management	Customer Service|Customer Support Tools|Software	50000000	Internet Software & Services	USA	Accel Partners, Google Capital, Tiger Global Management	
Greenhouse Software	Benchmark	Recruiting|SaaS|Software	13900000	HR Tech	USA	Benchmark Capital, Thrive Capital, Resolute.vc	Raised Series C (8/24/2015)
Greenhouse Software	Bill Lohse	Recruiting|SaaS|Software	2000000	HR Tech	USA	Benchmark Capital, Thrive Capital, Resolute.vc	Raised Series C (8/24/2015)
Greenhouse Software	Felicis Ventures	Recruiting|SaaS|Software	13900000	HR Tech	USA	Benchmark Capital, Thrive Capital, Resolute.vc	Raised Series C (8/24/2015)
Greenhouse Software	Felicis Ventures	Recruiting|SaaS|Software	7500000	HR Tech	USA	Benchmark Capital, Thrive Capital, Resolute.vc	Raised Series C (8/24/2015)
Greenhouse Software	Groupe Arnault	Recruiting|SaaS|Software	35000000	HR Tech	USA	Benchmark Capital, Thrive Capital, Resolute.vc	Raised Series C (8/24/2015)
Greenhouse Software	Lumia Capital	Recruiting|SaaS|Software	35000000	HR Tech	USA	Benchmark Capital, Thrive Capital, Resolute.vc	Raised Series C (8/24/2015)
Greenhouse Software	Nick Ganju	Recruiting|SaaS|Software	2000000	HR Tech	USA	Benchmark Capital, Thrive Capital, Resolute.vc	Raised Series C (8/24/2015)
Greenhouse Software	Resolute.vc	Recruiting|SaaS|Software	13900000	HR Tech	USA	Benchmark Capital, Thrive Capital, Resolute.vc	Raised Series C (8/24/2015)
Greenhouse Software	Resolute.vc	Recruiting|SaaS|Software	2000000	HR Tech	USA	Benchmark Capital, Thrive Capital, Resolute.vc	Raised Series C (8/24/2015)
Greenhouse Software	Resolute.vc	Recruiting|SaaS|Software	7500000	HR Tech	USA	Benchmark Capital, Thrive Capital, Resolute.vc	Raised Series C (8/24/2015)
Greenhouse Software	Seth Goldstein	Recruiting|SaaS|Software	2000000	HR Tech	USA	Benchmark Capital, Thrive Capital, Resolute.vc	Raised Series C (8/24/2015)
Greenhouse Software	Social Capital	Recruiting|SaaS|Software	13900000	HR Tech	USA	Benchmark Capital, Thrive Capital, Resolute.vc	Raised Series C (8/24/2015)
Greenhouse Software	Social Capital	Recruiting|SaaS|Software	2000000	HR Tech	USA	Benchmark Capital, Thrive Capital, Resolute.vc	Raised Series C (8/24/2015)
Greenhouse Software	Social Capital	Recruiting|SaaS|Software	35000000	HR Tech	USA	Benchmark Capital, Thrive Capital, Resolute.vc	Raised Series C (8/24/2015)
Greenhouse Software	Social Capital	Recruiting|SaaS|Software	7500000	HR Tech	USA	Benchmark Capital, Thrive Capital, Resolute.vc	Raised Series C (8/24/2015)
Greenhouse Software	Social Starts	Recruiting|SaaS|Software	700000	HR Tech	USA	Benchmark Capital, Thrive Capital, Resolute.vc	Raised Series C (8/24/2015)
Greenhouse Software	Social Starts	Recruiting|SaaS|Software	7500000	HR Tech	USA	Benchmark Capital, Thrive Capital, Resolute.vc	Raised Series C (8/24/2015)
Greenhouse Software	Thatcher Bell	Recruiting|SaaS|Software	2000000	HR Tech	USA	Benchmark Capital, Thrive Capital, Resolute.vc	Raised Series C (8/24/2015)
Greenhouse Software	Thomas Lehrman	Recruiting|SaaS|Software	2000000	HR Tech	USA	Benchmark Capital, Thrive Capital, Resolute.vc	Raised Series C (8/24/2015)
Greenhouse Software	Thrive Capital	Recruiting|SaaS|Software	35000000	HR Tech	USA	Benchmark Capital, Thrive Capital, Resolute.vc	Raised Series C (8/24/2015)
Grofers	Sequoia Capital	Consumer Electronics|Groceries|Pharmaceuticals|Retail	10000000	On-Demand	India	Sequoia Capital India, Tiger Global Management	
Grofers	Sequoia Capital	Consumer Electronics|Groceries|Pharmaceuticals|Retail	120000000	On-Demand	India	Sequoia Capital India, Tiger Global Management	
Grofers	Sequoia Capital	Consumer Electronics|Groceries|Pharmaceuticals|Retail	35000000	On-Demand	India	Sequoia Capital India, Tiger Global Management	
Grofers	Sequoia Capital	Consumer Electronics|Groceries|Pharmaceuticals|Retail	500000	On-Demand	India	Sequoia Capital India, Tiger Global Management	
Grofers	SoftBank	Consumer Electronics|Groceries|Pharmaceuticals|Retail	120000000	On-Demand	India	Sequoia Capital India, Tiger Global Management	
Grofers	Tiger Global Management	Consumer Electronics|Groceries|Pharmaceuticals|Retail	10000000	On-Demand	India	Sequoia Capital India, Tiger Global Management	
Grofers	Tiger Global Management	Consumer Electronics|Groceries|Pharmaceuticals|Retail	120000000	On-Demand	India	Sequoia Capital India, Tiger Global Management	
Grofers	Tiger Global Management	Consumer Electronics|Groceries|Pharmaceuticals|Retail	35000000	On-Demand	India	Sequoia Capital India, Tiger Global Management	
Gusto	AFSquare	Financial Services|Personal Finance|Software	20000000	HR Tech	USA	Emergence Capital Partners, General Catalyst Partners, A-Grade	Unicorn (12/18/2015)
Gusto	Aaron Levie	Financial Services|Personal Finance|Software	6100000	HR Tech	USA	Emergence Capital Partners, General Catalyst Partners, A-Grade	Unicorn (12/18/2015)
Gusto	Altimeter Capital	Financial Services|Personal Finance|Software	60000000	HR Tech	USA	Emergence Capital Partners, General Catalyst Partners, A-Grade	Unicorn (12/18/2015)
Gusto	Benjamin Ling	Financial Services|Personal Finance|Software	6100000	HR Tech	USA	Emergence Capital Partners, General Catalyst Partners, A-Grade	Unicorn (12/18/2015)
Gusto	Bobby Yazdani	Financial Services|Personal Finance|Software	6100000	HR Tech	USA	Emergence Capital Partners, General Catalyst Partners, A-Grade	Unicorn (12/18/2015)
Gusto	Dan Rose	Financial Services|Personal Finance|Software	6100000	HR Tech	USA	Emergence Capital Partners, General Catalyst Partners, A-Grade	Unicorn (12/18/2015)
Gusto	Data Collective	Financial Services|Personal Finance|Software	6100000	HR Tech	USA	Emergence Capital Partners, General Catalyst Partners, A-Grade	Unicorn (12/18/2015)
Gusto	David Sacks	Financial Services|Personal Finance|Software	6100000	HR Tech	USA	Emergence Capital Partners, General Catalyst Partners, A-Grade	Unicorn (12/18/2015)
Gusto	Drew Houston	Financial Services|Personal Finance|Software	6100000	HR Tech	USA	Emergence Capital Partners, General Catalyst Partners, A-Grade	Unicorn (12/18/2015)
Gusto	Elad Gil	Financial Services|Personal Finance|Software	6100000	HR Tech	USA	Emergence Capital Partners, General Catalyst Partners, A-Grade	Unicorn (12/18/2015)
Gusto	Elevate Ventures	Mobile	1300000	HR Tech	USA	Emergence Capital Partners, General Catalyst Partners, A-Grade	Unicorn (12/18/2015)
Gusto	Emergence Capital Partners	Financial Services|Personal Finance|Software	60000000	HR Tech	USA	Emergence Capital Partners, General Catalyst Partners, A-Grade	Unicorn (12/18/2015)
Gusto	General Catalyst Partners	Financial Services|Personal Finance|Software	20000000	HR Tech	USA	Emergence Capital Partners, General Catalyst Partners, A-Grade	Unicorn (12/18/2015)
Gusto	General Catalyst Partners	Financial Services|Personal Finance|Software	60000000	HR Tech	USA	Emergence Capital Partners, General Catalyst Partners, A-Grade	Unicorn (12/18/2015)
Gusto	Glynn Capital Management	Financial Services|Personal Finance|Software	60000000	HR Tech	USA	Emergence Capital Partners, General Catalyst Partners, A-Grade	Unicorn (12/18/2015)
